np,rep,request,phase,port,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
8,1,1,measure,18108,24,128,0.33366942405700684,6.282838344573975,0.04684384976785014,20.372957727066808,True,
8,1,2,measure,18108,24,128,0.3359861373901367,6.284369230270386,0.046837662148663375,20.367994831279635,True,
8,1,3,measure,18108,24,128,0.33321237564086914,6.282453536987305,0.04684441859327902,20.3742055944247,True,
8,1,4,measure,18108,24,128,0.3352677822113037,6.2837815284729,0.046838690915445645,20.369899784072675,True,
8,1,5,measure,18108,24,128,0.3343632221221924,6.2832465171813965,0.04684160074849767,20.371634257861263,True,
8,1,6,measure,18108,24,128,0.3344259262084961,6.283203840255737,0.04684077097674993,20.371772626557057,True,
8,1,7,measure,18108,24,128,0.33547282218933105,6.284134387969971,0.04683985484866646,20.368755996854034,True,
8,2,0,measure,18108,24,128,0.31990671157836914,6.241527318954468,0.04662693391634724,20.50780096904896,True,
8,2,1,measure,18108,24,128,0.3190605640411377,6.240738391876221,0.04662738447114238,20.510393476294713,True,
8,2,2,measure,18108,24,128,0.3212263584136963,6.24251127243042,0.046624290661549,20.50456850038899,True,
8,2,3,measure,18108,24,128,0.3186156749725342,6.240368366241455,0.04662797394699938,20.51160964991139,True,
8,2,4,measure,18108,24,128,0.32088160514831543,6.2421135902404785,0.04662387389836349,20.505874837030767,True,
8,2,5,measure,18108,24,128,0.3199045658111572,6.241380214691162,0.04662579251086618,20.508284321264306,True,
8,2,6,measure,18108,24,128,0.3201117515563965,6.2415196895599365,0.046625259354358586,20.50782603699913,True,
8,2,7,measure,18108,24,128,0.3210873603820801,6.242372274398804,0.046624290661549,20.505025072752098,True,
16,-1,0,warmup,18116,24,128,0.12478399276733398,2.2596025466918945,0.016809594912791815,56.647130349270796,True,
16,0,0,measure,18116,24,128,0.45211338996887207,12.813294887542725,0.09733213777617207,9.989624146123688,True,
16,0,1,measure,18116,24,128,0.4514491558074951,12.812798500061035,0.09733345940357119,9.9900111594973,True,
16,0,2,measure,18116,24,128,0.45117926597595215,12.81246304512024,0.0973329431428684,9.990272717215769,True,
