np,rep,request,phase,port,prompt_tokens,tokens,ttft_s,wall_s,itl_s,request_tps,stop,error
16,1,11,measure,18216,13,128,0.6154329776763916,15.8474760055542,0.1199373466762032,8.076995980630528,True,
16,1,12,measure,18216,11,128,0.6130213737487793,15.84511399269104,0.11993773715702567,8.078200009103327,True,
16,1,13,measure,18216,11,128,0.6097211837768555,15.842257738113403,0.1199412327113114,8.079656455282683,True,
16,1,14,measure,18216,12,128,0.6089036464691162,15.841513633728027,0.11994181092329852,8.080035971277159,True,
16,1,15,measure,18216,14,128,0.6059656143188477,15.838320255279541,0.11993980032252514,8.081665096861046,True,
16,2,0,measure,18216,15,128,0.6315662860870361,16.06080985069275,0.121490106807919,7.96971019456276,True,
16,2,1,measure,18216,11,128,0.6299571990966797,16.058972120285034,0.12148830646605004,7.970622219233799,True,
16,2,2,measure,18216,11,128,0.6264843940734863,16.05358624458313,0.12147324291739876,7.97329631210536,True,
16,2,3,measure,18216,12,128,0.6249089241027832,16.0521457195282,0.12147430547579068,7.974011838447362,True,
16,2,4,measure,18216,10,128,0.6261968612670898,16.05333709716797,0.12147354516457384,7.973420057477082,True,
16,2,5,measure,18216,13,128,0.6202192306518555,16.04804825782776,0.1214789687179205,7.976047799928906,True,
16,2,6,measure,18216,13,128,0.6202964782714844,16.047992944717407,0.12147792493264506,7.976075291217919,True,
16,2,7,measure,18216,14,128,0.6171607971191406,16.044575452804565,0.12147570595027894,7.9777741939333024,True,
16,2,8,measure,18216,11,128,0.613396406173706,16.041245698928833,0.12147912828941045,7.979430176582066,True,
16,2,9,measure,18216,11,128,0.6135592460632324,16.04156231880188,0.12148033915542242,7.979272682809372,True,
16,2,10,measure,18216,12,128,0.6104834079742432,16.038671493530273,0.12148179594926008,7.980710874440755,True,
16,2,11,measure,18216,13,128,0.6082515716552734,16.036307334899902,0.1214807540412963,7.981887433738121,True,
16,2,12,measure,18216,11,128,0.6056616306304932,16.034677028656006,0.12148831022067333,7.982698982414659,True,
16,2,13,measure,18216,11,128,0.6026430130004883,16.030453205108643,0.12147882041030043,7.984802323568026,True,
16,2,14,measure,18216,12,128,0.6021683216094971,16.031189680099487,0.1214883571534645,7.984435500684915,True,
16,2,15,measure,18216,14,128,0.5992183685302734,16.02649712562561,0.12147463588264044,7.986773341464247,True,
